"TIME","GEO","AIRPOL","SRC_CRF","UNIT","Value"
"2009","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","85.4"
"2009","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","84.3"
"2009","Belgium","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","87.6"
"2009","Bulgaria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","57.6"
"2009","Czechia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","69.6"
"2009","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","90.6"
"2009","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","74.0"
"2009","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","41.4"
"2009","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","116.5"
"2009","Greece","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","120.2"
"2009","Spain","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","130.5"
"2009","France","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","94.0"
"2009","Croatia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","89.6"
"2009","Italy","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","98.2"
"2009","Cyprus","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","168.4"
"2009","Latvia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","42.3"
"2009","Lithuania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","41.5"
"2009","Luxembourg","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","98.0"
"2009","Hungary","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","69.3"
"2009","Malta","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","112.8"
"2009","Netherlands","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","93.5"
"2009","Austria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","102.8"
"2009","Poland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","83.3"
"2009","Portugal","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","125.9"
"2009","Romania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","50.9"
"2009","Slovenia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","104.5"
"2009","Finland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","96.2"
"2009","Sweden","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","83.5"
"2009","Iceland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","136.4"
"2009","Liechtenstein","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","107.0"
"2009","Norway","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","103.2"
"2009","Switzerland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","100.3"
"2010","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","87.3"
"2010","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","86.1"
"2010","Belgium","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","92.6"
"2010","Bulgaria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","60.4"
"2010","Czechia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","70.9"
"2010","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","90.9"
"2010","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","76.6"
"2010","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","52.8"
"2010","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","115.9"
"2010","Greece","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","114.3"
"2010","Spain","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","125.8"
"2010","France","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","94.7"
"2010","Croatia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","88.5"
"2010","Italy","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","100.5"
"2010","Cyprus","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","163.5"
"2010","Latvia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","46.6"
"2010","Lithuania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","43.3"
"2010","Luxembourg","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","102.6"
"2010","Hungary","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","70.0"
"2010","Malta","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","115.8"
"2010","Netherlands","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","98.8"
"2010","Austria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","108.7"
"2010","Poland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","87.0"
"2010","Portugal","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","119.3"
"2010","Romania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","49.3"
"2010","Slovenia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","105.7"
"2010","Finland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","107.1"
"2010","Sweden","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","91.8"
"2010","Iceland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","134.6"
"2010","Liechtenstein","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","100.5"
"2010","Norway","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","108.0"
"2010","Switzerland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","103.6"
"2011","European Union - 27 countries (from 2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","85.1"
"2011","European Union - 28 countries (2013-2020)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","83.4"
"2011","Belgium","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","85.7"
"2011","Bulgaria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","65.7"
"2011","Czechia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","70.2"
"2011","Denmark","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","83.8"
"2011","Germany (until 1990 former territory of the FRG)","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","74.5"
"2011","Estonia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","52.8"
"2011","Ireland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","107.8"
"2011","Greece","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","111.6"
"2011","Spain","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","126.1"
"2011","France","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","90.5"
"2011","Croatia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","87.6"
"2011","Italy","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","98.1"
"2011","Cyprus","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","159.0"
"2011","Latvia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","43.6"
"2011","Lithuania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","44.6"
"2011","Luxembourg","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","101.1"
"2011","Hungary","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","68.2"
"2011","Malta","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","116.4"
"2011","Netherlands","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","92.6"
"2011","Austria","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","106.2"
"2011","Poland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","86.7"
"2011","Portugal","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","117.0"
"2011","Romania","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","51.9"
"2011","Slovenia","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","105.3"
"2011","Finland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","96.8"
"2011","Sweden","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","86.1"
"2011","Iceland","Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Total (excluding LULUCF and memo items, including international aviation)","Index, 1990=100","130.2"
